Cityid,City,Year,avghmp,PopOver16,EmpRate,MBSA,Serv,Sales,NRCM,PTMM,MeanHouseInc,PercWhite,PercBlack,PercAsian,PercMale,MedianAge,TreatmentDum
20,Flower Mound,2018,391246,58975,0.686,0.537,0.109,0.26,0.021,0.073,170003,0.817,0.04,0.123,0.512,0.403,0
20,Flower Mound,2019,404626,63841,0.703,0.569,0.102,0.227,0.029,0.073,163837,0.8,0.044,0.118,0.514,0.412,0
6,Fort Worth,2010,127063,549881,0.606,0.332,0.159,0.251,0.114,0.144,67378,0.627,0.192,0.036,0.494,31.5,0
6,Fort Worth,2011,122737,554714,0.601,0.352,0.176,0.227,0.091,0.153,65482,0.703,0.178,0.033,0.478,31.4,0
6,Fort Worth,2012,118253,575716,0.615,0.327,0.186,0.245,0.101,0.142,68822,0.68,0.19,0.041,0.488,31.9,0
6,Fort Worth,2013,122431,586102,0.624,0.337,0.177,0.242,0.098,0.146,72434,0.621,0.184,0.034,0.491,31.6,0
6,Fort Worth,2014,132266,607495,0.617,0.343,0.165,0.244,0.1,0.147,70510,0.646,0.2,0.037,0.482,32.4,0
6,Fort Worth,2015,142416,624965,0.631,0.341,0.165,0.238,0.107,0.149,75004,0.662,0.19,0.041,0.495,32.6,0
6,Fort Worth,2016,156427,636591,0.637,0.34,0.167,0.238,0.109,0.145,76452,0.637,0.19,0.046,0.493,32.4,0
6,Fort Worth,2017,174158,667185,0.645,0.34,0.167,0.238,0.109,0.145,81300,0.661,0.189,0.051,0.476,32.9,0
6,Fort Worth,2018,193247,677911,0.628,0.333,0.153,0.222,0.114,0.178,82635,0.608,0.19,0.048,0.492,33.2,0
6,Fort Worth,2019,207521,692602,0.644,0.362,0.165,0.207,0.109,0.158,84833,0.645,0.188,0.049,0.486,32.8,0
7,Grand Prarie,2010,127651,124453,0.63,0.306,0.136,0.273,0.11,0.175,66144,0.633,0.159,0.087,0.491,30.5,0
7,Grand Prarie,2011,123509,131084,0.628,0.335,0.126,0.263,0.098,0.177,66276,0.636,0.201,0.063,0.522,32.3,0
7,Grand Prarie,2012,117604,132854,0.669,0.281,0.154,0.282,0.116,0.167,70414,0.663,0.212,0.054,0.499,31.6,0
7,Grand Prarie,2013,123888,135445,0.645,0.321,0.145,0.265,0.109,0.16,69361,0.607,0.259,0.05,0.472,32.4,0
7,Grand Prarie,2014,134713,138555,0.683,0.311,0.155,0.257,0.111,0.166,70795,0.612,0.226,0.057,0.503,31.7,0
7,Grand Prarie,2015,143741,142048,0.68,0.292,0.141,0.255,0.11,0.203,76058,0.589,0.275,0.056,0.484,33.1,0
7,Grand Prarie,2016,157932,141896,0.666,0.304,0.18,0.24,0.101,0.175,73438,0.639,0.211,0.082,0.497,33.3,0
7,Grand Prarie,2017,175447,145147,0.675,0.304,0.18,0.24,0.101,0.175,82574,0.628,0.238,0.087,0.473,33.6,0
7,Grand Prarie,2018,193693,147899,0.666,0.287,0.17,0.243,0.13,0.169,77285,0.606,0.187,0.06,0.479,34.2,0
7,Grand Prarie,2019,213247,144020,0.686,0.309,0.178,0.218,0.118,0.176,84381,0.544,0.206,0.058,0.493,32.2,0
17,Houston,2010,126972,1622102,0.603,0.322,0.188,0.232,0.132,0.127,69803,0.566,0.237,0.062,0.504,0.322,0
17,Houston,2011,122024,1651726,0.611,0.341,0.192,0.221,0.119,0.126,71356,0.579,0.23,0.056,0.5,0.322,0
17,Houston,2012,116798,1662820,0.615,0.328,0.21,0.22,0.115,0.127,82572,0.577,0.235,0.065,0.502,0.325,0
17,Houston,2013,120885,1699782,0.635,0.343,0.19,0.219,0.122,0.125,75008,0.587,0.231,0.063,0.501,0.327,0
17,Houston,2014,136348,1732683,0.638,0.34,0.2,0.213,0.12,0.126,74846,0.576,0.234,0.069,0.501,0.327,0
17,Houston,2015,151099,1771334,0.64,0.336,0.194,0.221,0.121,0.128,77543,0.588,0.223,0.069,0.5,0.326,0
17,Houston,2016,160642,1779328,0.63,0.353,0.201,0.203,0.12,0.123,77312,0.746,0.076,0.07,0.507,0.327,0
17,Houston,2017,167885,1783503,0.62,0.364,0.19,0.209,0.12,0.118,82151,0.611,0.239,0.072,0.5,0.331,0
17,Houston,2018,173623,1807181,0.634,0.353,0.193,0.197,0.128,0.128,83050,0.556,0.233,0.082,0.496,0.331,0
17,Houston,2019,183815,1803388,0.63,0.369,0.186,0.183,0.121,0.14,85505,0.563,0.241,0.072,0.5,0.334,0
8,Irving,2010,155186,159964,0.669,0.334,0.161,0.294,0.094,0.117,69899,0.658,0.115,0.13,0.49,30.9,0
8,Irving,2011,148807,167478,0.662,0.355,0.168,0.247,0.098,0.132,69480,0.571,0.133,0.144,0.509,31,0
8,Irving,2012,142651,172354,0.664,0.349,0.163,0.25,0.1,0.137,72610,0.464,0.14,0.159,0.471,32.5,0
8,Irving,2013,149164,172362,0.696,0.353,0.178,0.235,0.109,0.125,73526,0.583,0.128,0.169,0.505,32.2,0
8,Irving,2014,160109,170068,0.693,0.347,0.165,0.245,0.097,0.145,67660,0.595,0.128,0.17,0.487,30.9,0
8,Irving,2015,165167,178158,0.703,0.36,0.155,0.228,0.111,0.147,76257,0.541,0.118,0.196,0.495,32.3,0
8,Irving,2016,179118,182395,0.69,0.359,0.164,0.234,0.123,0.12,78245,0.474,0.132,0.193,0.492,32,0
8,Irving,2017,199412,179710,0.716,0.359,0.164,0.234,0.123,0.12,86599,0.493,0.159,0.196,0.494,32.1,0
8,Irving,2018,214548,183922,0.731,0.361,0.167,0.208,0.108,0.156,88811,0.441,0.146,0.198,0.502,31.4,0
8,Irving,2019,236235,183419,0.705,0.368,0.158,0.199,0.13,0.145,88718,0.451,0.141,0.224,0.507,32,0
9,Lubbock,2010,118025,182684,0.609,0.34,0.186,0.293,0.096,0.086,59987,0.762,0.082,0.027,0.5,29.7,0
9,Lubbock,2011,118046,184483,0.645,0.328,0.212,0.288,0.081,0.091,61009,0.777,0.079,0.025,0.495,29.3,0
9,Lubbock,2012,116004,187046,0.609,0.34,0.215,0.263,0.084,0.097,58080,0.779,0.078,0.024,0.491,29.5,0
9,Lubbock,2013,116556,188623,0.612,0.355,0.201,0.264,0.098,0.083,65159,0.767,0.084,0.024,0.487,29.4,0
9,Lubbock,2014,120273,192913,0.631,0.344,0.2,0.272,0.09,0.095,62456,0.779,0.079,0.023,0.486,29.9,0
9,Lubbock,2015,120602,195687,0.609,0.326,0.224,0.248,0.094,0.109,62377,0.806,0.074,0.026,0.491,29.2,0
9,Lubbock,2016,116046,199521,0.608,0.382,0.182,0.242,0.089,0.105,66854,0.801,0.081,0.021,0.499,29.7,0
9,Lubbock,2017,129702,201929,0.626,0.382,0.182,0.242,0.089,0.105,70012,0.838,0.093,0.034,0.474,30,0
9,Lubbock,2018,136895,203047,0.627,0.383,0.181,0.235,0.086,0.115,69320,0.803,0.08,0.028,0.49,29.9,0
9,Lubbock,2019,142585,204448,0.637,0.383,0.188,0.218,0.08,0.132,72144,0.794,0.076,0.026,0.486,29.8,0
10,Mesquite,2010,91175,102512,0.639,0.275,0.154,0.277,0.111,0.183,63270,0.622,0.262,0.033,0.461,31.8,0
10,Mesquite,2011,86549,106874,0.639,0.29,0.198,0.282,0.103,0.127,58493,0.636,0.256,0.04,0.449,33.1,0
10,Mesquite,2012,81726,103264,0.659,0.276,0.212,0.278,0.11,0.124,61803,0.714,0.212,0.025,0.475,29.4,0
10,Mesquite,2013,86483,106194,0.675,0.288,0.178,0.298,0.112,0.124,63304,0.646,0.26,0.028,0.484,33.1,0
10,Mesquite,2014,93882,111509,0.669,0.279,0.2,0.246,0.138,0.137,64546,0.646,0.251,0.037,0.5,32.9,0
10,Mesquite,2015,101714,109765,0.618,0.235,0.193,0.297,0.135,0.141,59773,0.653,0.245,0.025,0.477,34.6,0
10,Mesquite,2016,122312,105090,0.637,0.32,0.142,0.241,0.142,0.154,68480,0.656,0.251,0.028,0.464,32.8,0
10,Mesquite,2017,148967,103561,0.646,0.32,0.142,0.241,0.142,0.154,67530,0.701,0.249,0.039,0.473,32.5,0
10,Mesquite,2018,160718,101408,0.67,0.253,0.2,0.268,0.151,0.128,66800,0.639,0.244,0.025,0.495,32,0
10,Mesquite,2019,182557,110747,0.649,0.254,0.193,0.256,0.123,0.174,69969,0.65,0.206,0.033,0.472,39.2,0
11,Pasadena,2010,105591,109061,0.545,0.232,0.185,0.217,0.187,0.18,59932,0.67,0.032,0.024,0.475,32.7,0
11,Pasadena,2011,100970,112887,0.557,0.226,0.195,0.242,0.155,0.182,59146,0.718,0.03,0.035,0.507,30.2,0
11,Pasadena,2012,97543,112211,0.578,0.22,0.155,0.261,0.195,0.169,61827,0.81,0.032,0.025,0.507,30.6,0
11,Pasadena,2013,96931,109931,0.577,0.236,0.19,0.237,0.168,0.17,65246,0.825,0.022,0.02,0.497,30.1,0
11,Pasadena,2014,106256,114722,0.626,0.233,0.167,0.234,0.207,0.159,66834,0.816,0.02,0.009,0.5,31.9,0
11,Pasadena,2015,114965,111303,0.594,0.229,0.178,0.206,0.177,0.209,61637,0.899,0.033,0.01,0.513,31.5,0
11,Pasadena,2016,123462,112553,0.557,0.254,0.164,0.212,0.203,0.168,69901,0.887,0.035,0.016,0.473,30.2,0
11,Pasadena,2017,131583,111273,0.592,0.254,0.164,0.212,0.203,0.168,68911,0.912,0.044,0.018,0.492,30.7,0
11,Pasadena,2018,140152,113938,0.62,0.236,0.146,0.229,0.231,0.158,72979,0.897,0.027,0.015,0.5,31.4,0
11,Pasadena,2019,152051,111022,0.594,0.241,0.183,0.191,0.195,0.189,72812,0.89,0.022,0.016,0.482,32.7,0
12,Plano,2010,222599,203508,0.67,0.513,0.127,0.269,0.045,0.045,109382,0.69,0.072,0.172,0.496,38.1,0
12,Plano,2011,217138,210176,0.678,0.555,0.111,0.254,0.04,0.039,104721,0.69,0.071,0.19,0.509,37.1,0
12,Plano,2012,215564,208242,0.681,0.552,0.11,0.248,0.042,0.049,114458,0.713,0.074,0.167,0.496,37.3,0
12,Plano,2013,227793,215748,0.671,0.539,0.127,0.249,0.037,0.048,110690,0.691,0.08,0.183,0.483,38.2,0
12,Plano,2014,249659,221302,0.663,0.563,0.139,0.213,0.041,0.044,112745,0.666,0.095,0.176,0.497,39.1,0
12,Plano,2015,270985,225838,0.673,0.534,0.137,0.24,0.045,0.043,112140,0.669,0.079,0.203,0.489,38.1,1
12,Plano,2016,301893,228518,0.673,0.541,0.123,0.24,0.05,0.047,114891,0.658,0.106,0.184,0.493,38.1,1
12,Plano,2017,328678,231103,0.682,0.541,0.123,0.24,0.05,0.047,126197,0.684,0.099,0.215,0.488,38.9,1
12,Plano,2018,345492,228239,0.668,0.541,0.139,0.209,0.05,0.061,127822,0.64,0.076,0.232,0.498,38.3,1
12,Plano,2019,349871,232799,0.664,0.574,0.128,0.187,0.044,0.067,126629,0.641,0.096,0.223,0.494,39.4,1
13,Round Rock,2010,202058,71928,0.709,0.433,0.155,0.258,0.074,0.079,82793,0.841,0.065,0.024,0.492,31.2,0
13,Round Rock,2011,193706,76581,0.677,0.455,0.141,0.259,0.07,0.075,89801,0.798,0.101,0.046,0.464,31.4,0
13,Round Rock,2012,194401,78760,0.688,0.429,0.144,0.241,0.076,0.109,84229,0.784,0.11,0.055,0.495,31.7,0
13,Round Rock,2013,205136,79036,0.698,0.441,0.161,0.235,0.069,0.094,83787,0.754,0.101,0.057,0.498,32.5,0
13,Round Rock,2014,225096,82931,0.678,0.463,0.114,0.267,0.082,0.073,89554,0.793,0.087,0.06,0.489,33.9,0
13,Round Rock,2015,245618,88919,0.703,0.424,0.15,0.25,0.081,0.095,91926,0.754,0.094,0.071,0.489,34.9,0
13,Round Rock,2016,263264,94350,0.688,0.41,0.156,0.26,0.071,0.104,91922,0.717,0.099,0.076,0.494,33.9,0
13,Round Rock,2017,283407,94811,0.683,0.41,0.156,0.26,0.071,0.104,101818,0.747,0.142,0.094,0.51,33.7,0
13,Round Rock,2018,295866,98325,0.713,0.434,0.161,0.26,0.076,0.069,103065,0.763,0.105,0.063,0.506,34.1,0
13,Round Rock,2019,311365,102002,0.734,0.404,0.18,0.246,0.05,0.119,104053,0.813,0.079,0.052,0.49,33.7,0
14,San Antonio,2010,131928,1019273,0.579,0.327,0.204,0.269,0.102,0.098,62427,0.76,0.062,0.022,0.487,32.8,0
14,San Antonio,2011,129221,1041209,0.571,0.34,0.199,0.265,0.096,0.1,59424,0.757,0.068,0.02,0.486,32.7,0
14,San Antonio,2012,125237,1064346,0.586,0.326,0.211,0.26,0.104,0.099,63577,0.739,0.07,0.024,0.487,33.2,0
14,San Antonio,2013,129104,1087232,0.588,0.321,0.206,0.28,0.099,0.094,62552,0.792,0.071,0.027,0.491,33,0
14,San Antonio,2014,136164,1108448,0.595,0.331,0.214,0.247,0.104,0.104,62993,0.799,0.07,0.027,0.493,33.2,0
14,San Antonio,2015,144441,1138854,0.589,0.319,0.21,0.26,0.106,0.105,66048,0.819,0.072,0.029,0.491,33.1,0
14,San Antonio,2016,155209,1155359,0.598,0.329,0.206,0.255,0.109,0.101,66058,0.794,0.074,0.028,0.495,33.5,0
14,San Antonio,2017,165744,1180076,0.599,0.329,0.206,0.255,0.109,0.101,70215,0.824,0.079,0.037,0.481,33.6,0
14,San Antonio,2018,175263,1193955,0.6,0.333,0.211,0.237,0.103,0.116,68396,0.817,0.066,0.033,0.497,33.7,0
14,San Antonio,2019,184815,1211043,0.616,0.329,0.225,0.226,0.106,0.114,72587,0.783,0.073,0.029,0.493,34.4,0
19,Sugar Land,2010,250181,62779,0.633,0.582,0.088,0.265,0.027,0.038,131609,0.53,0.072,0.36,0.5,0.412,0
19,Sugar Land,2011,245129,64504,0.619,0.598,0.081,0.245,0.04,0.036,141639,0.519,0.077,0.34,0.486,0.41,0
19,Sugar Land,2012,240816,66375,0.636,0.601,0.093,0.254,0.02,0.032,153272,0.505,0.061,0.395,0.494,0.423,0
19,Sugar Land,2013,246519,67044,0.613,0.549,0.085,0.247,0.05,0.069,138605,0.483,0.094,0.368,0.5,0.439,0
19,Sugar Land,2014,274709,69097,0.597,0.603,0.066,0.26,0.027,0.045,148269,0.511,0.042,0.416,0.507,0.406,0
19,Sugar Land,2015,303276,72007,0.632,0.614,0.074,0.238,0.032,0.042,146895,0.494,0.097,0.375,0.498,0.421,0
19,Sugar Land,2016,317782,71121,0.582,0.617,0.06,0.247,0.055,0.021,157164,0.483,0.066,0.405,0.504,0.42,0
19,Sugar Land,2017,317616,72047,0.618,0.59,0.091,0.238,0.03,0.05,154753,0.521,0.038,0.438,0.492,0.413,0
19,Sugar Land,2018,321805,97442,0.605,0.626,0.091,0.2,0.032,0.05,143622,0.569,0.058,0.363,0.488,0.429,0
19,Sugar Land,2019,323295,96165,0.63,0.596,0.073,0.235,0.037,0.059,155387,0.525,0.093,0.378,0.502,0.427,0
15,Waco,2010,100249,97272,0.546,0.306,0.234,0.242,0.087,0.131,45984,0.725,0.202,0.015,0.47,27.6,0
15,Waco,2011,99748,96829,0.539,0.312,0.213,0.243,0.101,0.131,51515,0.713,0.224,0.017,0.484,28.4,0
15,Waco,2012,97216,100621,0.521,0.254,0.239,0.253,0.094,0.161,48438,0.683,0.204,0.02,0.485,29.3,0
15,Waco,2013,98017,100293,0.559,0.316,0.224,0.244,0.096,0.12,54121,0.647,0.198,0.026,0.48,27.7,0
15,Waco,2014,99061,102324,0.532,0.291,0.204,0.254,0.103,0.148,48777,0.693,0.211,0.012,0.497,27.9,0
15,Waco,2015,101164,103417,0.545,0.329,0.214,0.224,0.096,0.137,55452,0.712,0.216,0.029,0.479,29.3,0
15,Waco,2016,104117,106702,0.575,0.321,0.211,0.232,0.105,0.131,59981,0.67,0.229,0.019,0.485,28.6,0
15,Waco,2017,114569,106218,0.57,0.321,0.211,0.232,0.105,0.131,60024,0.705,0.218,0.03,0.477,28.8,0
15,Waco,2018,126521,107546,0.56,0.29,0.21,0.231,0.112,0.157,53710,0.725,0.212,0.019,0.482,28.1,0
15,Waco,2019,136065,109806,0.578,0.34,0.231,0.182,0.067,0.179,58567,0.727,0.203,0.019,0.491,28.9,0
16,Wichita Falls,2010,83821,82907,0.492,0.279,0.208,0.286,0.089,0.138,52277,0.791,0.135,0.027,0.527,33.2,0
16,Wichita Falls,2011,82976,82675,0.501,0.317,0.22,0.246,0.086,0.13,58396,0.787,0.122,0.026,0.512,32.4,0
16,Wichita Falls,2012,82072,82862,0.516,0.329,0.237,0.229,0.083,0.122,66689,0.788,0.12,0.022,0.523,32.3,0
16,Wichita Falls,2013,82582,83456,0.521,0.361,0.219,0.248,0.07,0.102,59176,0.776,0.128,0.026,0.531,32.6,0
16,Wichita Falls,2014,83492,82663,0.518,0.327,0.207,0.299,0.069,0.098,60182,0.739,0.127,0.025,0.53,32,0
16,Wichita Falls,2015,86093,84821,0.505,0.324,0.214,0.239,0.095,0.128,59160,0.762,0.121,0.031,0.533,34,0
16,Wichita Falls,2016,87250,83343,0.511,0.366,0.243,0.184,0.137,0.07,56451,0.753,0.121,0.032,0.53,32,0
16,Wichita Falls,2017,89736,84442,0.518,0.366,0.243,0.184,0.137,0.07,58528,0.747,0.134,0.037,0.516,32.8,0
16,Wichita Falls,2018,92934,83522,0.527,0.306,0.204,0.213,0.131,0.145,65992,0.748,0.133,0.03,0.519,32.5,0
16,Wichita Falls,2019,95888,83826,0.544,0.334,0.221,0.228,0.06,0.157,63182,0.791,0.121,0.022,0.523,32.9,0
